review
Quando ho avuto problemi con la restituzione della bici l'assistenza è stata molto gentile, ma non ha potuto risolvere velocemente il problema nè evitare che mi venisse addebitato il costo del noleggio perchè avevo superato la mezz'ora (non a causa del percorso da me effettuato, ma a causa dell'impossibilità di riagganciare la bici in 2 stazioni diverse). Sarebbe auspicabile poter risolvere i problemi più efficientemente o almeno non far pagare l'utente in caso di segnalato disservizio. Per il resto, quando il servizio funziona, è davvero pratico e utile.
più bici elettriche. spesso anche se presenti risultano non disponibili quando ce ne sono poche, come mai?
fare più attenzione alle stazioni che molto spesso sono sprovviste di biciclette o piene e non consentono il riposizionamento delle stesse
fondamentale inserire bici con seggiolino bimbi
